target,effect,condition_scope,category_id,trust_level,evidence_source_type,evidence_summary,source1_title,source1_url,source1_publisher,source1_type,source2_title,source2_url,source2_publisher,source2_type
오메가3(EPA·DHA),혈중 중성지방 개선,EPA와 DHA의 합으로 900mg 이상 섭취 시,1,CLINICAL_EVIDENCE,식약처 고시 기능성 원료,"식약처가 EPA·DHA 함유 유지를 건강기능식품 기능성 원료로 인정했으며, 혈중 중성지질 개선·혈행 개선 기능성이 공식적으로 확인됐다. EPA는 중성지방이 간에서 합성되는 것을 억제하는 기전이 확인돼 있다.",EPA 및 DHA 함유 유지 - 건강기능식품 기능성 원료 및 기준·규격,https://www.mfds.go.kr/brd/m_74/down.do?brd_id=ntc0003&seq=44233&data_tp=A&file_seq=1,식품의약품안전처,OFFICIAL,식품 통계 이야기 오메가3,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?menu_no=3862&bbs_no=bbs091601&ntctxt_no=1096643&menu_grp=MENU_NEW01,식품안전나라,OFFICIAL
경구 콜라겐(가수분해 콜라겐),피부 탄력·보습 개선,8~12주 이상 경구 섭취 시,1,EXPERT_OPINION,메타분석(체계적 문헌고찰),"여러 메타분석에서 경구 콜라겐 섭취가 피부 수분·탄력을 개선시킨다는 결과가 나왔다. 다만 제조사 자금 지원을 받은 연구는 효과가 있다고 보고한 반면, 비지원·고품질 연구에서는 유의미한 효과가 확인되지 않아 근거 강도에 논란이 있다.",Effects of Oral Collagen for Skin Anti-Aging: A Systematic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10180699/,Nutrients (MDPI),META_ANALYSIS,Effects of collagen-based supplements on skin's hydration and elasticity,https://ijdvl.com/effects-of-collagen-based-supplements-on-skins-hydration-and-elasticity-a-systematic-review-and-meta-analysis/,Indian Journal of Dermatology Venereology and Leprology,META_ANALYSIS
글루코사민·콘드로이친,관절통(무릎 골관절염) 완화,무릎 골관절염 환자 대상,1,PENDING,메타분석(Cochrane),"Cochrane 리뷰에서 글루코사민·콘드로이친 모두 제제·연구 품질에 따라 결과가 엇갈렸다. 특정 제형(Rotta 제제)에서만 위약 대비 효과가 확인됐고, 그 외에는 통증·기능 개선이 통계적으로 유의하지 않았다. 단기(6개월 미만) 소폭 개선은 일부 확인되나 근거 수준은 낮음으로 평가된다.",Glucosamine for osteoarthritis,https://www.cochrane.org/evidence/CD002946_glucosamine-osteoarthritis,Cochrane,META_ANALYSIS,Chondroitin for osteoarthritis,https://www.cochrane.org/evidence/CD005614_chondroitin-osteoarthritis,Cochrane,META_ANALYSIS
레티놀(비타민A 유도체),주름 개선,12주 이상 국소 도포 시,4,EXPERT_OPINION,체계적 문헌고찰,"레티놀 함유 제품의 무작위 대조 임상시험 9건을 분석한 체계적 문헌고찰에서, 4건은 위약과 유의한 차이가 없었고 5건은 미세 주름에 약한 개선 효과가 있었으나 방법론적 결함이 지적됐다. 피부과에서 널리 권장되는 성분이지만, 처방용 트레티노인 대비 일반의약품 수준 레티놀의 고품질 임상 근거는 아직 부족하다.",Evidence for the Efficacy of Over-the-counter Vitamin A Cosmetic Products in the Improvement of Facial Skin Aging: A Systematic Review,https://jcadonline.com/efficacy-of-over-the-counter-vitamin-a/,Journal of Clinical and Aesthetic Dermatology,SYSTEMATIC_REVIEW,,,,
비타민C,감기 예방(발병률 감소),일반 인구 대상 일상적 섭취,1,COUNTER_EVIDENCE,메타분석(Cochrane),"Cochrane 리뷰(11,306명 대상, 29개 비교 연구)에서 일반 인구의 비타민C 정기 섭취는 감기 발병률을 낮추지 못했다. 다만 이미 걸린 감기의 지속 기간은 성인 8%, 소아 14% 정도 줄이는 효과가 확인됐다 — 즉 예방과 증상 기간 단축은 구분해야 한다.",Vitamin C for preventing and treating the common cold,https://www.cochrane.org/evidence/CD000980_vitamin-c-preventing-and-treating-common-cold,Cochrane,META_ANALYSIS,,,,
디톡스 티/주스 클렌즈,체중 감량 및 체내 독소 배출,단기(1~2주) 클렌즈 프로그램,2,COUNTER_EVIDENCE,문헌고찰,"간·신장이 이미 노폐물을 효율적으로 걸러내고 있어 디톡스 차가 별도로 독소를 배출한다는 근거는 없다. 단기 체중 감소는 대부분 수분·글리코겐 손실이며 지방 감소가 아니고, 탄수화물 섭취가 정상화되면 되돌아온다. 오히려 전해질 이상, 심혈관계 이상반응, 표시 성분과 실제 성분 불일치 등 부작용 사례가 보고됐다.",Safety and effectiveness of diet and detox teas for weight loss: a mini-review,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2026.1777795/full,Frontiers in Nutrition,REVIEW,,,,
마그네슘,수면의 질 개선,"특별한 수면장애 진단이 없는 성인, 하루 200~500mg 섭취 시",1,PENDING,체계적 문헌고찰 및 소규모 무작위대조군연구,"관찰연구에서는 마그네슘 섭취·혈중농도와 수면의 질 사이 연관성이 보고되지만, 무작위대조군연구(RCT)는 수가 적고 결과가 엇갈린다. 2023년 발표된 체계적 문헌고찰(Biological Trace Element Research)은 관련 RCT들의 결과가 상충되어 마그네슘 보충과 수면장애 개선 사이 관계가 불확실하다고 결론지었다. 최근 마그네슘 비스글리시네이트 위약대조 RCT에서는 불면심각도지수가 소폭 개선됐으나 효과크기가 작아(Cohen's d≈0.2), 현재로선 뚜렷한 효과가 있다고 보기 어렵다.",The Role of Magnesium in Sleep Health: a Systematic Review of Available Literature,https://link.springer.com/article/10.1007/s12011-022-03162-1,Biological Trace Element Research (Springer),SYSTEMATIC_REVIEW,"Magnesium Bisglycinate Supplementation in Healthy Adults Reporting Poor Sleep: A Randomized, Placebo-Controlled Trial",https://www.tandfonline.com/doi/full/10.2147/NSS.S524348,Nature and Science of Sleep (Taylor & Francis),RCT
비타민D,골절 예방,"비타민D 결핍이나 골다공증이 없는 50세 이상 일반 성인, 하루 2000IU 장기 섭취 시",1,COUNTER_EVIDENCE,대규모 RCT (VITAL trial),"미국 성인 2만5871명을 대상으로 한 대규모 무작위대조군연구(VITAL trial, NEJM 2022)는 비타민D 결핍이나 골다공증으로 선별되지 않은 일반 중장년층이 하루 2000IU 비타민D3를 약 5년간 복용해도 전체·비척추·고관절 골절 위험이 위약군과 유의한 차이가 없다고 보고했다. 이는 '비타민D 보충제가 골절을 예방한다'는 통념과 배치되는 결과다. 다만 연구진은 이미 심한 비타민D 결핍이 있거나 골다공증 약물을 복용 중인 사람, 시설 거주 노인에게는 결과를 일반화할 수 없다고 명시했다.",Supplemental Vitamin D and Incident Fractures in Midlife and Older Adults,https://www.nejm.org/doi/full/10.1056/NEJMoa2202106,New England Journal of Medicine,RCT,,,,
아연,감기 지속기간 단축,"감기 증상 시작 24시간 이내부터, 아연 함량 75mg/일 이상 아연 로젠지 복용 시",1,CLINICAL_EVIDENCE,메타분석(Cochrane),"코크란 체계적 문헌고찰(Singh & Das, 2013, RCT 17건)은 감기 증상 발현 24시간 이내에 아연을 복용하면 감기 지속기간이 단축된다고 결론지었다. 후속 메타분석들은 하루 75mg 이상의 아연 로젠지가 감기 지속기간을 12~48%가량(평균 약 1일) 줄인다고 보고했으나, 이 효과는 저용량에서는 뚜렷하지 않고 고용량에서는 미각이상 등 부작용 위험이 커진다는 단서가 붙는다.",Zinc for the common cold,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001364.pub4/abstract,Cochrane Database of Systematic Reviews,META_ANALYSIS,"Zinc for the common cold—not if, but when",https://pmc.ncbi.nlm.nih.gov/articles/PMC3273967/,PMC (National Library of Medicine),REVIEW
코엔자임Q10,스타틴 복용에 따른 근육통 완화,"스타틴 복용 중 근육통을 겪는 환자, 하루 100~600mg을 4~12주 섭취 시",1,PENDING,메타분석(결과 상반),"2018년 JAHA에 실린 메타분석(RCT 12건, 575명)은 코엔자임Q10 보충이 스타틴 관련 근육통·근력저하·근경련을 위약 대비 유의하게 완화했다고 보고했다. 그러나 다른 메타분석은 코엔자임Q10이 근육통에 유의한 효과가 없다고 결론지어 연구마다 결과가 엇갈린다. 두 메타분석 모두 크레아틴키나아제 수치에는 유의한 변화가 없었다고 보고해, 객관적 근손상 지표보다는 주관적 통증 개선 여부에 초점이 맞춰져 있다.",Effects of Coenzyme Q10 on Statin‐Induced Myopathy: An Updated Meta‐Analysis of Randomized Controlled Trials,https://www.ahajournals.org/doi/10.1161/JAHA.118.009835,Journal of the American Heart Association,META_ANALYSIS,Effects of coenzyme Q10 supplementation on statin-induced myopathy: a meta-analysis of randomized controlled trials,https://pubmed.ncbi.nlm.nih.gov/33999383/,PubMed (National Library of Medicine),META_ANALYSIS
